alg,dset,set,time,rmse,logp
pbp,boston,0,7.94125509262085,2.464366710017784,-2.3190884714287145
pbp,boston,1,2.920231819152832,2.6896351302329617,-2.4121624273964257
pbp,boston,2,2.934823989868164,2.230398263168607,-2.243620495416881
pbp,boston,3,2.939305067062378,2.7036504715173164,-2.408158779154436
pbp,boston,4,2.961777925491333,3.746541566405896,-2.892660514748442
pbp,boston,5,2.9529240131378174,2.2660565496794574,-2.254999868483432
pbp,boston,6,2.957404136657715,2.2003466513365115,-2.232319355968143
pbp,boston,7,3.0019919872283936,3.175010053356331,-2.576401204120635
pbp,boston,8,2.995004892349243,3.6732943970783376,-2.8994661923336964
pbp,boston,9,2.989022970199585,5.239961732144305,-3.856994277010039
svgd,boston,0,13.862221717834473,2.2965972423553467,-2.2696990259765846
svgd,boston,1,8.273890733718872,2.9762022495269775,-2.625907259537917
svgd,boston,2,8.977247953414917,2.25990629196167,-2.2897746899799176
svgd,boston,3,8.76486611366272,2.4484622478485107,-2.314174356857238
svgd,boston,4,8.409018278121948,5.591439247131348,-3.5325576172168223
svgd,boston,5,8.388244152069092,2.3642313480377197,-2.2967372742187973
svgd,boston,6,8.369680881500244,2.2842414379119873,-2.27346371689849
svgd,boston,7,8.35529112815857,4.73438024520874,-3.767942063711152
svgd,boston,8,8.23953890800476,3.570094108581543,-2.913282682565824
svgd,boston,9,8.31842303276062,5.772857189178467,-3.471635074916055
svgd_orig,boston,0,11.021592617034912,2.4529585308362027,-2.4625838090344443
svgd_orig,boston,1,6.349696159362793,2.6970211706862224,-2.4833571601546724
svgd_orig,boston,2,6.414721965789795,2.494409904136809,-2.350303385684343
svgd_orig,boston,3,6.391016006469727,2.175129455947004,-2.241083119636604
svgd_orig,boston,4,6.389226913452148,4.016381815402024,-3.091353992503105
svgd_orig,boston,5,6.3693320751190186,2.000054263756318,-2.431474120735092
svgd_orig,boston,6,6.704725742340088,2.019860626875147,-2.5464347272558863
svgd_orig,boston,7,6.756964206695557,3.0880358072229366,-2.565021567309731
svgd_orig,boston,8,6.493660926818848,3.620284865662217,-2.733071964401552
svgd_orig,boston,9,6.641572952270508,5.42389219799497,-3.929721666874356
pbp,concrete,0,4.582787036895752,5.658947132417435,-3.1550131236457983
pbp,concrete,1,4.5977630615234375,6.045605630807701,-3.2373457582112337
pbp,concrete,2,4.596094846725464,5.394731261734102,-3.1031497898412908
pbp,concrete,3,4.591263055801392,5.603208037678372,-3.1440282167339024
