,alg,dim,set,time,acc,abs_acc,logp
0,svgd,2,0,6.6067187786102295,0.7936301408261061,0.852,-0.3337578715691925
1,nuts,2,0,1.5495917797088623,0.7903180489912629,0.854,-0.3327326750577195
2,svgd,2,1,2.6147708892822266,0.8067134247217327,0.872,-0.32414044181382634
3,nuts,2,1,1.305994987487793,0.8044642327394104,0.868,-0.32453184780516314
4,svgd,2,2,2.622731924057007,0.8008995622545481,0.876,-0.299026255489036
5,nuts,2,2,1.2797460556030273,0.7973000722527503,0.874,-0.3002937034588249
6,svgd,2,3,2.5869648456573486,0.7844883514046669,0.866,-0.32512480045785197
7,nuts,2,3,1.3497788906097412,0.7794162032306194,0.864,-0.32765858666948044
8,svgd,2,4,2.6297640800476074,0.7846947766318917,0.836,-0.3835256273703562
9,nuts,2,4,1.3375730514526367,0.7842992424741387,0.84,-0.38421688080836613
10,svgd,4,0,3.936757802963257,0.7250443634390831,0.784,-0.45780235819076187
11,nuts,4,0,1.443897008895874,0.7209122735559941,0.796,-0.4436798810628243
12,svgd,4,1,2.806676149368286,0.7904402573555708,0.854,-0.3303817390166223
13,nuts,4,1,1.3914730548858643,0.7887684401869773,0.864,-0.32316231219645125
14,svgd,4,2,2.7903261184692383,0.769783931158483,0.834,-0.3707781696897
15,nuts,4,2,1.3094758987426758,0.7698990975469351,0.83,-0.35883497074176557
16,svgd,4,3,2.750601291656494,0.7686808158997447,0.84,-0.3932144798547961
17,nuts,4,3,1.3072171211242676,0.7659892133511603,0.852,-0.3851800195900723
18,svgd,4,4,2.852174997329712,0.7761369243953377,0.834,-0.37354984733700985
19,nuts,4,4,1.3026740550994873,0.7754541151379235,0.844,-0.3669687229139381
20,svgd,8,0,3.8973069190979004,0.7982875805944204,0.876,-0.3159922065232531
21,nuts,8,0,1.6186490058898926,0.7941726253330708,0.878,-0.31410867952404076
22,svgd,8,1,2.662357807159424,0.7882553378492594,0.844,-0.37886226151048324
23,nuts,8,1,1.3690922260284424,0.7832747192680836,0.844,-0.37792743133337353
24,svgd,8,2,2.7233662605285645,0.7809514268189669,0.856,-0.3325496234477032
25,nuts,8,2,1.3766469955444336,0.7803548667803407,0.864,-0.32419790545105936
26,svgd,8,3,2.635641098022461,0.7638052618652582,0.83,-0.3577953150812537
27,nuts,8,3,1.3697023391723633,0.7566450269818306,0.836,-0.3682306368034333
28,svgd,8,4,2.7224299907684326,0.7894710347503424,0.854,-0.3384453742436017
29,nuts,8,4,1.4271631240844727,0.7815165179111063,0.85,-0.3420216399112251
30,svgd,16,0,4.568714141845703,0.7707278845440596,0.818,-0.36908389516198803
31,nuts,16,0,1.6940031051635742,0.7622919806577265,0.816,-0.3674616282994975
32,svgd,16,1,3.104024648666382,0.8022230631411076,0.866,-0.3037874549357366
33,nuts,16,1,1.5385642051696777,0.7932416697591543,0.868,-0.30646395470859716
34,svgd,16,2,2.964103937149048,0.759548162266612,0.836,-0.3784702289057896
35,nuts,16,2,1.483241319656372,0.7438131351917983,0.836,-0.3819559631606098
36,svgd,16,3,3.0384039878845215,0.765955703355372,0.838,-0.367905413000728
37,nuts,16,3,1.630519151687622,0.7526173025965691,0.844,-0.3715694240834564
38,svgd,16,4,2.9451420307159424,0.7894939529970288,0.85,-0.3529076827878889
39,nuts,16,4,1.5226926803588867,0.7786797517985106,0.846,-0.3519834939635475
40,svgd,32,0,4.808160066604614,0.7781285130325705,0.824,-0.4103433655433746
41,nuts,32,0,1.748708963394165,0.7552391419559717,0.83,-0.3856167797291419
42,svgd,32,1,3.4044368267059326,0.7908169590483886,0.84,-0.3861960494350387
43,nuts,32,1,1.518043041229248,0.7698998266477137,0.85,-0.361566671079956
44,svgd,32,2,3.228717088699341,0.7726808879692108,0.83,-0.38940081900819495
45,nuts,32,2,1.534189224243164,0.7524607482925058,0.828,-0.37480453808209857
46,svgd,32,3,3.2476091384887695,0.78775652955845,0.832,-0.4134485724659298
47,nuts,32,3,1.6857311725616455,0.763208055600524,0.828,-0.3797652842894895
48,svgd,32,4,3.220536231994629,0.7987916706651449,0.844,-0.3688281786792146
49,nuts,32,4,1.549590826034546,0.7788843021169305,0.846,-0.3480187722318369
