,alg,dset,set,time,acc,abs_acc,logp
0,svgd,banana,0,7.933496952056885,0.5020770839601755,0.5,-0.701276450380683
1,nuts,banana,0,2.52998685836792,0.5015146926790476,0.4825,-0.6991107199341059
2,svgd,banana,1,3.894896984100342,0.512524282336235,0.5925,-0.6782943756878376
3,nuts,banana,1,2.3182969093322754,0.5108738504350185,0.5875,-0.6788772675395012
4,svgd,banana,2,3.8945322036743164,0.5073874659091234,0.5525,-0.690164148285985
5,nuts,banana,2,2.271277904510498,0.5063285353034734,0.5525,-0.6892190686613321
6,svgd,banana,3,3.9130990505218506,0.5108686038851737,0.58,-0.6824989264458418
7,nuts,banana,3,2.335174798965454,0.5093907120078802,0.575,-0.682473996207118
8,svgd,banana,4,3.9188947677612305,0.5116637178510427,0.58,-0.6798160431534052
9,nuts,banana,4,2.325766086578369,0.5098709467053414,0.58,-0.6807349220663309
10,svgd,image,0,6.535238265991211,0.7366980059534455,0.8384615384615385,-0.4225893714014763
11,nuts,image,0,3.995929002761841,0.7343561639887496,0.8415384615384616,-0.4210667986199832
12,svgd,image,1,4.436719655990601,0.7266884197430828,0.8276923076923077,-0.4207430714099274
13,nuts,image,1,3.1752688884735107,0.7262206687735251,0.84,-0.4162909199662793
14,svgd,image,2,4.490355968475342,0.7303902764042589,0.8223076923076923,-0.4527240884363374
15,nuts,image,2,3.3642218112945557,0.730564161779968,0.8223076923076923,-0.443909088462824
16,svgd,image,3,4.419675827026367,0.7356016013857264,0.8292307692307692,-0.4216059818920733
17,nuts,image,3,3.2874581813812256,0.734093855071383,0.8261538461538461,-0.41750230790465137
18,svgd,image,4,4.428881883621216,0.7323307825064358,0.833076923076923,-0.4261710834868539
19,nuts,image,4,3.380518913269043,0.7308654128573835,0.8392307692307692,-0.4243709107937712
20,svgd,ringnorm,0,6.705857992172241,0.6629202701570466,0.77,-0.5127985591557809
21,nuts,ringnorm,0,3.176060914993286,0.6625554706854746,0.7575,-0.5170535958581604
22,svgd,ringnorm,1,4.810377836227417,0.657969158058986,0.7575,-0.5347101165860658
23,nuts,ringnorm,1,2.9441678524017334,0.6593019132199697,0.755,-0.533015553215082
24,svgd,ringnorm,2,4.67298698425293,0.6631899399170652,0.73,-0.5172579825913999
25,nuts,ringnorm,2,2.9272420406341553,0.6636202237894758,0.735,-0.517549637631746
26,svgd,ringnorm,3,4.754667043685913,0.6780209401994943,0.775,-0.485011549222545
27,nuts,ringnorm,3,3.0273618698120117,0.6782827918138356,0.77,-0.48495688091104966
28,svgd,ringnorm,4,4.797995090484619,0.6625760494335554,0.7725,-0.5166833151609171
29,nuts,ringnorm,4,3.0593299865722656,0.6629740166477859,0.78,-0.516125855424325
30,svgd,splice,0,8.28879690170288,0.7185564002096653,0.77,-0.4909530570199345
31,nuts,splice,0,13.739380836486816,0.7660571507662535,0.822,-0.3887903922411424
32,svgd,splice,1,5.843787908554077,0.7328982320576324,0.786,-0.453777313885656
33,nuts,splice,1,11.039379358291626,0.7799776810444892,0.858,-0.3463483429185871
34,svgd,splice,2,5.848461151123047,0.7376852666139603,0.81,-0.4354392065950896
35,nuts,splice,2,10.438352108001709,0.7764702900834382,0.844,-0.3443926793267019
36,svgd,splice,3,5.874007701873779,0.7483483215809101,0.811,-0.41081497651542165
37,nuts,splice,3,12.937786102294922,0.7885771021703258,0.859,-0.3177318511556441
38,svgd,splice,4,5.912271738052368,0.7403535252375295,0.8,-0.44899529216694073
39,nuts,splice,4,13.166131973266602,0.774564035515301,0.83,-0.3564684554836713
40,svgd,titanic,0,6.3398659229278564,0.6811716773112615,0.8,-0.4816693168878555
41,nuts,titanic,0,2.191704750061035,0.676489792863528,0.8,-0.4831316261490186
42,svgd,titanic,1,4.194234848022461,0.6638312417268754,0.7733333333333333,-0.5291758883992831
43,nuts,titanic,1,2.1550278663635254,0.6596517662207285,0.7733333333333333,-0.5292791286110878
44,svgd,titanic,2,4.191324949264526,0.6618940183520317,0.78,-0.5262749673922856
45,nuts,titanic,2,2.0105888843536377,0.6583255544304848,0.78,-0.5255964869260787
46,svgd,titanic,3,4.187916040420532,0.6737726238369942,0.8066666666666666,-0.49001971185207366
47,nuts,titanic,3,2.030967950820923,0.6699366215864817,0.8066666666666666,-0.4908506190776825
48,svgd,titanic,4,4.324725866317749,0.6718406776587168,0.7933333333333333,-0.4948092264930407
49,nuts,titanic,4,2.0178921222686768,0.6678052836656571,0.7933333333333333,-0.49661691268285113
50,svgd,twonorm,0,5.339884042739868,0.9615406763926149,0.97,-0.08011383734114877
51,nuts,twonorm,0,2.980149030685425,0.959188624471426,0.97,-0.07334139804721063
52,svgd,twonorm,1,4.860777854919434,0.9669835966842948,0.9725,-0.07811828070612761
53,nuts,twonorm,1,3.0248801708221436,0.963937779921107,0.9725,-0.07060076390764293
54,svgd,twonorm,2,4.686117887496948,0.9663407085835933,0.975,-0.07169228545033002
55,nuts,twonorm,2,2.9410970211029053,0.9640413268562407,0.9775,-0.06515596400428758
56,svgd,twonorm,3,4.845348834991455,0.9629969116438588,0.9725,-0.08712532132299933
57,nuts,twonorm,3,2.956723928451538,0.9606563758855918,0.97,-0.07986044747304517
